Game_Number,XGID,Move,ND/NDR,DT/RDT,DD/RDD
1,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:0:0:3:0:8,,,,
1,XGID=-b----E-C---eE---c-e----B-:0:0:1:53:0:0:3:0:8,8/3 6/3,,,
1,XGID=-b-B--D-B---eE---c-e----B-:0:0:-1:53:0:0:3:0:8,8/3 6/3,,,
1,XGID=-b-B--D-B---eE---b-d--b-B-:0:0:1:53:0:0:3:0:8,24/21 13/8,,,
1,XGID=-b-B--D-C---eD---b-d-Ab-A-:0:0:-1:55:0:0:3:0:8,13/8(2) 6/1*(2),,,
1,XGID=-b-B--D-C---cD---d-b-Ab-bA:0:0:1:42:0:0:3:0:8,Bar/21 13/11,,,
1,XGID=-b-B--D-C--AcC---d-b-Bb-b-:0:0:-1:43:0:0:3:0:8,24/21 24/20,,,
1,XGID=---BaaD-C--AcC---d-b-Bb-b-:0:0:1:65:0:0:3:0:8,13/8 11/5*,,,
1,XGID=a--BaAD-D---cB---d-b-Bb-b-:0:0:-1:63:0:0:3:0:8,Cannot Move,,,
1,XGID=a--BaAD-D---cB---d-b-Bb-b-:1:-1:1:D:0:0:3:0:8,,0.611,0.791,1.0
1,XGID=a--BaAD-D---cB---d-b-Bb-b-:1:-1:1:54:0:0:3:0:8,6/1 5/1,,,
1,XGID=aB-Ba-C-D---cB---d-b-Bb-b-:1:-1:-1:64:0:0:3:0:8,Bar/21 8/2,,,
1,XGID=-B-Bb-C-D---cB---c-b-Bbab-:1:-1:1:51:0:0:3:0:8,8/2,,,
1,XGID=-BABb-C-C---cB---c-b-Bbab-:1:-1:-1:43:0:0:3:0:8,13/6,,,
1,XGID=-BABb-C-C---bB---c-c-Bbab-:1:-1:1:62:0:0:3:0:8,13/11 8/2,,,
1,XGID=-BBBb-C-B--AbA---c-c-Bbab-:1:-1:-1:63:0:0:3:0:8,21/12*,,,
1,XGID=-BBBa-C-B--Aba---c-c-BbabA:1:-1:1:51:0:0:3:0:8,Bar/20 21/20,,,
1,XGID=-BBBa-C-B--Aba---c-cBAbab-:1:-1:-1:31:0:0:3:0:8,12/8,,,
1,XGID=-BBBa-C-B--Ab----d-cBAbab-:1:-1:1:66:0:0:3:0:8,21/9 20/14(2),,,
1,XGID=-BBBa-C-BA-Ab-B--d-c--bab-:1:-1:-1:61:0:0:3:0:8,21/14*,,,
1,XGID=-BBB--C-BA-ab-B--d-c--babA:1:-1:1:52:0:0:3:0:8,Bar/23* 23/18,,,
1,XGID=aBBB--C-BA-ab-B--dAc--b-b-:1:-1:-1:42:0:0:3:0:8,Bar/21 8/6,,,
1,XGID=-BBBa-C-BA-ab-B--cAd--b-b-:1:-1:1:52:0:0:3:0:8,9/4* 6/4,,,
1,XGID=aBBBB-B-B--ab-B--cAd--b-b-:1:-1:-1:54:0:0:3:0:8,Bar/20 14/10,,,
1,XGID=-BBBBaB-B---b-Ba-cAd--b-b-:1:-1:1:41:0:0:3:0:8,18/13,,,
1,XGID=-BBBBaB-B---bABa-c-d--b-b-:1:-1:-1:21:0:0:3:0:8,13/12* 12/10,,,
1,XGID=-BBBBaB-B---a-Bb-c-d--b-bA:1:-1:1:62:0:0:3:0:8,Bar/23 8/2,,,
1,XGID=-BCBBaB-A---a-Bb-c-d--bAb-:1:-1:-1:33:0:0:3:0:8,20/17* 13/10 8/5(2),,,
1,XGID=-BCBB-B-a-----Bc-a-db-bAbA:1:-1:1:21:0:0:3:0:8,Bar/23 2/1,,,
1,XGID=-CBBB-B-a-----Bc-a-db-bBb-:1:-1:-1:00:0:0:3:0:8,,0.629,0.512,1.0
1,XGID=-CBBB-B-a-----Bc-a-db-bBb-:1:-1:-1:65:0:0:3:0:8,17/6,,,
1,XGID=-CBBB-B-------Bc-a-eb-bBb-:1:-1:1:32:0:0:3:0:8,14/12 14/11,,,
1,XGID=-CBBB-B----AA--c-a-eb-bBb-:1:-1:-1:D:0:0:3:0:8,,0.88,1.08,1.0
2,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:0:0:3:0:8,,,,
2,XGID=-b----E-C---eE---c-e----B-:0:0:1:52:0:0:3:0:8,24/22 13/8,,,
2,XGID=-b----E-D---eD---c-e--A-A-:0:0:-1:22:0:0:3:0:8,13/11(2) 6/4(2),,,
2,XGID=-b----E-D---cDb--c-c-bA-A-:0:0:1:31:0:0:3:0:8,8/5 6/5,,,
2,XGID=-b---BD-C---cDb--c-c-bA-A-:0:0:-1:63:0:0:3:0:8,11/5 8/5,,,
2,XGID=-b---BD-C---cDa--b-cbbA-A-:0:0:1:43:0:0:3:0:8,13/9 8/5,,,
2,XGID=-b---CD-BA--cCa--b-cbbA-A-:0:0:-1:31:0:0:3:0:8,24/23 6/3*,,,
2,XGID=-aa--CD-BA--cCa--b-bbba-AA:0:0:1:65:0:0:3:0:8,Cannot Move,,,
2,XGID=-aa--CD-BA--cCa--b-bbba-AA:1:1:-1:D:0:0:3:0:8,,0.745,0.947,1.0
2,XGID=-aa--CD-BA--cCa--b-bbba-AA:1:1:-1:42:0:0:3:0:8,11/7 3/1*,,,
2,XGID=-aa--CD-BA--cC---babbb--aB:1:1:1:66:0:0:3:0:8,Cannot Move,,,
2,XGID=-aa--CD-BA--cC---babbb--aB:1:1:-1:62:0:0:3:0:8,23/21 7/1,,,
2,XGID=-a--aCD-BA--cC---b-bbb--bB:1:1:1:61:0:0:3:0:8,Cannot Move,,,
2,XGID=-a--aCD-BA--cC---b-bbb--bB:1:1:-1:61:0:0:3:0:8,13/6,,,
2,XGID=-a--aCD-BA--bC---b-cbb--bB:1:1:1:42:0:0:3:0:8,Bar/23,,,
2,XGID=-a--aCD-BA--bC---b-cbb-AbA:1:1:-1:52:0:0:3:0:8,21/16* 16/14,,,
2,XGID=-a---CD-B--abC---b-cbb-AbB:1:1:1:43:0:0:3:0:8,Bar/22,,,
2,XGID=-a---CD-B--abC---b-cbbAAbA:1:1:-1:65:0:0:3:0:8,8/3* 8/2*,,,
2,XGID=-a---CD-B--abC-----cbbaabC:1:1:1:61:0:0:3:0:8,Cannot Move,,,
2,XGID=-a---CD-B--abC-----cbbaabC:1:1:-1:65:0:0:3:0:8,14/3,,,
2,XGID=-a---CD-B---bC-----cbbbabC:1:1:1:54:0:0:3:0:8,Cannot Move,,,
2,XGID=-a---CD-B---bC-----cbbbabC:1:1:-1:51:0:0:3:0:8,24/23 13/8,,,
2,XGID=--a--CD-B---aC---a-cbbbabC:1:1:1:55:0:0:3:0:8,Cannot Move,,,
2,XGID=--a--CD-B---aC---a-cbbbabC:1:1:-1:65:0:0:3:0:8,23/18 8/2,,,
2,XGID=-----CDaB---aC-----cbbbbbC:1:1:1:51:0:0:3:0:8,Cannot Move,,,
2,XGID=-----CDaB---aC-----cbbbbbC:1:1:-1:51:0:0:3:0:8,18/13 6/5,,,
2,XGID=-----CD-B---bC-----bcbbbbC:1:1:1:52:0:0:3:0:8,Cannot Move,,,
2,XGID=-----CD-B---bC-----bcbbbbC:1:1:-1:54:0:0:3:0:8,13/4,,,
2,XGID=-----CD-B---aC-----bccbbbC:1:1:1:66:0:0:3:0:8,Cannot Move,,,
2,XGID=-----CD-B---aC-----bccbbbC:1:1:-1:22:0:0:3:0:8,13/5,,,
2,XGID=-----CD-B----C-----bdcbbbC:1:1:1:53:0:0:3:0:8,Cannot Move,,,
2,XGID=-----CD-B----C-----bdcbbbC:1:1:-1:51:0:0:3:0:8,5/4 5/Off,,,
2,XGID=-----CD-B----C-----bbdbbbC:1:1:1:44:0:0:3:0:8,Cannot Move,,,
2,XGID=-----CD-B----C-----bbdbbbC:1:1:-1:64:0:0:3:0:8,6/2 6/Off,,,
2,XGID=-----CD-B----C------bdbcbC:1:1:1:32:0:0:3:0:8,Cannot Move,,,
2,XGID=-----CD-B----C------bdbcbC:1:1:-1:55:0:0:3:0:8,5/Off(2) 4/Off(2),,,
2,XGID=-----CD-B----C-------bbcbC:1:1:1:55:0:0:3:0:8,Bar/20(2) Bar/15,,,
2,XGID=-----CD-B----C-A----Bbbcb-:1:1:-1:51:0:0:3:0:8,4/Off 1/Off,,,
2,XGID=-----CD-B----C-A----Babca-:1:1:1:22:0:0:3:0:8,20/18(2) 8/6(2),,,
2,XGID=-----CF------C-A--B--abca-:1:1:-1:22:0:0:3:0:8,4/Off 2/Off(2),,,
2,XGID=-----CF------C-A--B---baa-:1:1:1:32:0:0:3:0:8,13/11 13/10,,,
2,XGID=-----CF---AA-A-A--B---baa-:1:1:-1:51:0:0:3:0:8,3/Off 1/Off,,,
2,XGID=-----CF---AA-A-A--B---aa--:1:1:1:65:0:0:3:0:8,11/6 10/4,,,
2,XGID=----ACG------A-A--B---aa--:1:1:-1:11:0:0:3:0:8,3/Off 2/1,,,
2,XGID=----ACG------A-A--B-----a-:1:1:1:51:0:0:3:0:8,13/12 6/1,,,
2,XGID=-A--ACF-----A--A--B-----a-:1:1:-1:64:0:0:3:0:8,1/Off,,,
3,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:0:0:3:0:8,,,,
3,XGID=-b----E-C---eE---c-e----B-:0:0:1:62:0:0:3:0:8,24/18 13/11,,,
3,XGID=-b----E-C--AeD---cAe----A-:0:0:-1:63:0:0:3:0:8,24/21 13/7*,,,
3,XGID=-a--a-E-C--AdD---cae----AA:0:0:1:61:0:0:3:0:8,Bar/18*,,,
3,XGID=aa--a-E-C--AdD---cAe----A-:0:0:-1:44:0:0:3:0:8,Bar/21 24/20 13/9(2),,,
3,XGID=----baE-C--AbD--bcAe----A-:0:0:1:42:0:0:3:0:8,13/9 11/9,,,
3,XGID=----baE-CB--bC--bcAe----A-:0:0:-1:51:0:0:3:0:8,8/7* 6/1*,,,
3,XGID=----baE-CB--bC--bbad----aB:0:0:1:54:0:0:3:0:8,Bar/21 Bar/20,,,
3,XGID=----baE-CB--bC--bbadAA--a-:0:0:-1:21:0:0:3:0:8,7/5* 6/5,,,
3,XGID=----baE-CB--bC--bb-cbA--aA:0:0:1:51:0:0:3:0:8,Bar/24* 13/8,,,
3,XGID=a---baE-DB--bB--bb-cbA--A-:0:0:-1:42:0:0:3:0:8,Bar/21 6/4*,,,
3,XGID=----caE-DB--bB--bb-bba--AA:0:0:1:22:0:0:3:0:8,Bar/21* 13/11(2),,,
3,XGID=a---caE-DB-Bb---bb-bbA--A-:0:0:-1:32:0:0:3:0:8,Bar/20,,,
3,XGID=----cbE-DB-Bb---bb-bbA--A-:0:0:1:43:0:0:3:0:8,21/14,,,
3,XGID=----cbE-DB-Bb-A-bb-bb---A-:0:0:-1:33:0:0:3:0:8,13/7(2),,,
3,XGID=----cbE-DB-B--A-bbbbb---A-:0:0:1:51:0:0:3:0:8,24/23 14/9,,,
3,XGID=----cbE-DC-B----bbbbb--A--:0:0:-1:51:0:0:3:0:8,21/15,,,
3,XGID=----bbE-DCaB----bbbbb--A--:0:0:1:62:0:0:3:0:8,23/15,,,
3,XGID=----bbE-DCaB---Abbbbb-----:0:0:-1:42:0:0:3:0:8,9/7 8/4,,,
3,XGID=----bbE-DCaB---Aaacbba----:0:0:1:66:0:0:3:0:8,15/3 9/3 8/2,,,
3,XGID=--ABbbE-CBaB----aacbba----:0:0:-1:65:0:0:3:0:8,15/10 9/3,,,
3,XGID=--ABbbE-CB-B---a-acbbaa---:0:0:1:52:0:0:3:0:8,11/9 11/6,,,
3,XGID=--ABbbF-CC-----a-acbbaa---:0:0:-1:41:0:0:3:0:8,7/6 7/3,,,
3,XGID=--ABbbF-CC-----a-aacbab---:0:0:1:41:0:0:3:0:8,6/1,,,
3,XGID=-AABbbE-CC-----a-aacbab---:0:0:-1:21:0:0:3:0:8,10/9 6/4,,,
3,XGID=-AABbbE-CC------aaabbbb---:0:0:1:63:0:0:3:0:8,9/6 8/2,,,
3,XGID=-ABBbbF-BB------aaabbbb---:0:0:-1:63:0:0:3:0:8,8/2 7/4,,,
3,XGID=-ABBbbF-BB------a--bbcba--:1:-1:1:D:0:0:3:0:8,,0.744,0.805,1.0
3,XGID=-ABBbbF-BB------a--bbcba--:1:-1:1:42:0:0:3:0:8,6/2 3/1,,,
3,XGID=-BCAbbE-BB------a--bbcba--:1:-1:-1:33:0:0:3:0:8,9/3 5/2 4/1,,,
3,XGID=-BCAbbE-BB---------babcba-:1:-1:1:51:0:0:3:0:8,6/1 2/1,,,
3,XGID=-DBAbbD-BB---------babcba-:1:-1:-1:31:0:0:3:0:8,5/1,,,
3,XGID=-DBAbbD-BB---------b-bcbb-:1:-1:1:64:0:0:3:0:8,9/3 6/2,,,
3,XGID=-DCBbbC-BA---------b-bcbb-:1:-1:-1:31:0:0:3:0:8,4/1 3/2,,,
3,XGID=-DCBbbC-BA---------b-abcc-:1:-1:1:52:0:0:3:0:8,9/2,,,
3,XGID=-DDBbbC-B----------b-abcc-:1:-1:-1:41:0:0:3:0:8,20/15,,,
3,XGID=-DDBbaC-B-a--------b-abcc-:1:-1:1:21:0:0:3:0:8,6/5* 5/3,,,
3,XGID=aDDCb-B-B-a--------b-abcc-:1:-1:-1:41:0:0:3:0:8,Bar/20,,,
3,XGID=-DDCbaB-B-a--------b-abcc-:1:-1:1:42:0:0:3:0:8,8/2,,,
3,XGID=-DECbaB-A-a--------b-abcc-:1:-1:-1:31:0:0:3:0:8,20/17* 4/3,,,
3,XGID=-DECb-B-a-a--------b--cccA:1:-1:1:43:0:0:3:0:8,Bar/18,,,
3,XGID=-DECb-B-a-a-------Ab--ccc-:1:-1:-1:44:0:0:3:0:8,21/13 15/7*,,,
3,XGID=-DECa-B-a---a-----ab--cccA:1:-1:1:62:0:0:3:0:8,Cannot Move,,,
3,XGID=-DECa-B-a---a-----ab--cccA:1:-1:-1:64:0:0:3:0:8,17/7,,,
3,XGID=-DECa-B-----a-----bb--cccA:1:-1:1:42:0:0:3:0:8,Bar/21 3/1,,,
3,XGID=-EEBa-B-----a-----bb-Accc-:1:-1:-1:31:0:0:3:0:8,7/4* 4/3,,,
3,XGID=-EEBa-B-----a-----ab--dccA:1:-1:1:61:0:0:3:0:8,Cannot Move,,,
3,XGID=-EEBa-B-----a-----ab--dccA:1:-1:-1:54:0:0:3:0:8,21/16 7/3,,,
3,XGID=-EEB--B--a--a------b--eccA:1:-1:1:52:0:0:3:0:8,Bar/20 6/4,,,
3,XGID=-EEBA-A--a--a------bA-ecc-:1:-1:-1:63:0:0:3:0:8,13/4,,,
3,XGID=-EEBA-A--a---------bAaecc-:1:-1:1:61:0:0:3:0:8,20/14 6/5,,,
3,XGID=-EEBAA---a----A----b-aecc-:1:-1:-1:64:0:0:3:0:8,16/6,,,
3,XGID=-EEBAA--------A----c-aecc-:1:-1:1:52:0:0:3:0:8,14/7,,,
3,XGID=-EEBAA-A-----------c-aecc-:1:-1:-1:41:0:0:3:0:8,4/Off 1/Off,,,
3,XGID=-EEBAA-A-----------c--ecb-:1:-1:1:53:0:0:3:0:8,7/4 5/Off,,,
3,XGID=-EEBB--------------c--ecb-:1:-1:-1:33:0:0:3:0:8,3/Off(4),,,
3,XGID=-EEBB--------------c--acb-:1:-1:1:61:0:0:3:0:8,4/Off 1/Off,,,
3,XGID=-DEBA--------------c--acb-:2:1:-1:D:0:0:3:0:8,,0.777,0.866,1.0
3,XGID=-DEBA--------------c--acb-:2:1:-1:21:0:0:3:0:8,2/Off 1/Off,,,
3,XGID=-DEBA--------------c--aba-:2:1:1:42:0:0:3:0:8,4/Off 2/Off,,,
3,XGID=-DDB---------------c--aba-:2:1:-1:66:0:0:3:0:8,6/Off(3) 3/Off,,,
3,XGID=-DDB-------------------ba-:2:1:1:44:0:0:3:0:8,3/Off(2) 2/Off(2),,,
3,XGID=-DB--------------------ba-:2:1:-1:22:0:0:3:0:8,2/Off(2) 1/Off,,,
4,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:0:0:3:0:8,,,,
4,XGID=-b----E-C---eE---c-e----B-:0:0:1:32:0:0:3:0:8,24/21 13/11,,,
4,XGID=-b----E-C--AeD---c-e-A--A-:0:0:-1:42:0:0:3:0:8,8/4* 6/4,,,
4,XGID=-b----E-C--AeD---b-d-b--AA:0:0:1:33:0:0:3:0:8,Bar/22 11/5 8/5,,,
4,XGID=-b---BE-B---eD---b-d-bA-A-:0:0:-1:43:0:0:3:0:8,13/9 6/3*,,,
4,XGID=-b---BE-B---dD--ab-c-ba-AA:0:0:1:53:0:0:3:0:8,Bar/22* 13/8,,,
4,XGID=ab---BE-C---dC--ab-c-bA-A-:0:0:-1:32:0:0:3:0:8,Bar/22 24/22,,,
4,XGID=-a-b-BE-C---dC--ab-c-bA-A-:0:0:1:00:0:0:3:0:8,,0.279,0.111,1.0
4,XGID=-a-b-BE-C---dC--ab-c-bA-A-:0:0:1:32:0:0:3:0:8,24/22 8/5,,,
4,XGID=-a-b-CE-B---dC--ab-c-bB---:0:0:-1:22:0:0:3:0:8,24/22 13/11 13/9,,,
4,XGID=---c-CE-B---bCa-bb-c-bB---:0:0:1:41:0:0:3:0:8,22/18 6/5,,,
4,XGID=---c-DD-B---bCa-bbAc-bA---:0:0:-1:32:0:0:3:0:8,9/7* 6/3*,,,
4,XGID=---c-DD-B---bCa-abab-ba--B:0:0:1:32:0:0:3:0:8,Bar/23 Bar/22*,,,
4,XGID=a--c-DD-B---bCa-abab-bAA--:0:0:-1:54:0:0:3:0:8,Bar/21 7/2*,,,
4,XGID=---caDD-B---bCa-ab-b-bAa-A:0:0:1:00:0:0:3:0:8,,0.542,0.497,1.0
4,XGID=---caDD-B---bCa-ab-b-bAa-A:0:0:1:41:0:0:3:0:8,Bar/20,,,
4,XGID=---caDD-B---bCa-ab-bAbAa--:0:0:-1:22:0:0:3:0:8,11/5* 5/3*,,,
4,XGID=---caDD-B---bC--ab-b-baa-B:0:0:1:00:0:0:3:0:8,,0.387,0.263,1.0
4,XGID=---caDD-B---bC--ab-b-baa-B:0:0:1:32:0:0:3:0:8,Bar/23* Bar/22*,,,
